Generation0,0.442288,0.406109,0.542524,0.593149,0.506872,0.552823,0.427566,0.590576,
Generation1,0.476719,0.501293,0.519402,0.592957,0.49487,0.496568,0.590256,0.590269,
Generation2,0.509476,0.594191,0.529509,0.500481,0.518103,0.572372,0.586309,0.475029,
Generation3,0.578408,0.568389,0.6033,0.595382,0.572092,0.59049,0.593846,0.577543,
Generation4,0.625872,0.604022,0.627629,0.53149,0.63321,0.597123,0.603118,0.603287,
Generation5,0.503878,0.54435,0.598017,0.457441,0.621714,0.63004,0.642896,0.513107,
Generation6,0.644253,0.609301,0.598032,0.542639,0.615354,0.604269,0.602028,0.601202,
Generation7,0.616996,0.548163,0.507605,0.64391,0.643049,0.643211,0.633989,0.60887,
Generation8,0.643835,0.572568,0.65219,0.61238,0.643139,0.627991,0.653774,0.601464,
Generation9,0.643496,0.572594,0.633688,0.548134,0.654321,0.574051,0.544332,0.653918,
Generation10,0.655261,0.652854,0.549485,0.606818,0.613755,0.61475,0.611263,0.652699,
Generation11,0.603415,0.642317,0.646818,0.500221,0.646566,0.653303,0.611306,0.657066,
Generation12,0.627496,0.65849,0.502537,0.505134,0.511501,0.658816,0.656594,0.558098,
Generation13,0.650125,0.570301,0.602439,0.614912,0.656687,0.605722,0.648673,0.65631,
Generation14,0.613297,0.650197,0.650692,0.639726,0.624746,0.64702,0.642698,0.569258,
Generation15,0.638861,0.649484,0.608127,0.615022,0.648132,0.651465,0.650659,0.650328,
Generation16,0.538243,0.650315,0.647933,0.536232,0.651241,0.650685,0.649913,0.472585,
Generation17,0.636732,0.598898,0.655962,0.576544,0.599076,0.490416,0.620485,0.605121,
Generation18,0.65108,0.635638,0.582633,0.644376,0.636127,0.542384,0.633594,0.590725,
Generation19,0.610199,0.64872,0.640148,0.643,0.566954,0.645143,0.501922,0.583182,
