Generation0,0.454157,0.289117,0.474931,0.450658,0.465448,0.528064,0.421066,0.311763,0.355977,0.389053,0.373032,0.353724,
Generation1,0.52695,0.488322,0.463561,0.547346,0.32943,0.395814,0.454842,0.447066,0.545837,0.527721,0.410086,0.499109,
Generation2,0.428164,0.54439,0.517575,0.547492,0.530379,0.351256,0.495074,0.500357,0.543563,0.547043,0.546938,0.542219,
Generation3,0.491627,0.331924,0.550016,0.543604,0.542771,0.547132,0.546328,0.546936,0.541076,0.548983,0.546416,0.540584,
Generation4,0.503663,0.494049,0.502982,0.54581,0.551115,0.335814,0.548452,0.541075,0.540583,0.548507,0.526216,0.539143,
Generation5,0.548274,0.458212,0.357096,0.546033,0.548675,0.520013,0.470559,0.466299,0.548748,0.499539,0.540662,0.524404,
Generation6,0.543969,0.548151,0.546445,0.547463,0.547887,0.550081,0.550618,0.548689,0.547638,0.547509,0.534876,0.546056,
Generation7,0.549768,0.55889,0.550011,0.548385,0.544101,0.548603,0.547287,0.520057,0.545364,0.550833,0.546116,0.523812,
Generation8,0.547903,0.559344,0.562484,0.495457,0.546676,0.557601,0.55905,0.561558,0.520512,0.558123,0.561316,0.551761,
Generation9,0.558963,0.544566,0.558329,0.561079,0.560029,0.548837,0.560919,0.557739,0.561158,0.558375,0.559506,0.559853,
Generation10,0.559868,0.559674,0.56079,0.561248,0.565624,0.568608,0.56081,0.559981,0.55935,0.547848,0.562574,0.560885,
Generation11,0.565437,0.560484,0.56679,0.567597,0.507895,0.474853,0.557289,0.564566,0.569824,0.46281,0.568581,0.5685,
Generation12,0.569165,0.567792,0.568626,0.57033,0.567627,0.569355,0.565526,0.568771,0.567863,0.570061,0.566888,0.568072,
Generation13,0.568674,0.462391,0.570219,0.405539,0.522798,0.532303,0.55888,0.569633,0.568065,0.567416,0.516786,0.483209,
Generation14,0.567753,0.429716,0.568333,0.573768,0.569917,0.56844,0.568116,0.569969,0.466806,0.569212,0.518028,0.541287,
