Generation0,0.54439,0.322154,0.429594,0.577362,0.423461,0.529013,0.362788,0.321767,
Generation1,0.448344,0.42815,0.55683,0.449815,0.429179,0.326229,0.527482,0.330156,
Generation2,0.530136,0.571736,0.45319,0.557826,0.4263,0.404879,0.558167,0.528952,
Generation3,0.556769,0.526953,0.462228,0.346274,0.563779,0.345882,0.55685,0.559116,
Generation4,0.555249,0.5626,0.557205,0.556232,0.562239,0.293985,0.562577,0.55828,
Generation5,0.563752,0.563874,0.562462,0.503339,0.55726,0.328051,0.374453,0.576975,
Generation6,0.563869,0.5628,0.577737,0.37654,0.562418,0.510959,0.329356,0.575419,
Generation7,0.500056,0.577202,0.576354,0.511496,0.561206,0.563888,0.578583,0.573092,
Generation8,0.573486,0.576784,0.576901,0.519663,0.57776,0.577012,0.57909,0.577732,
Generation9,0.577369,0.576744,0.593398,0.576847,0.579282,0.578245,0.577623,0.578096,
Generation10,0.653177,0.551466,0.578311,0.578124,0.579151,0.652962,0.577687,0.528964,
Generation11,0.577665,0.659522,0.65399,0.569076,0.65287,0.643479,0.576968,0.65255,
Generation12,0.657222,0.660462,0.497703,0.659463,0.653315,0.65293,0.645733,0.643814,
Generation13,0.659483,0.659031,0.65846,0.656644,0.625987,0.657998,0.658496,0.658943,
Generation14,0.659399,0.65925,0.659365,0.658872,0.659678,0.659036,0.659045,0.442034,
Generation15,0.659141,0.6605,0.659783,0.639417,0.65867,0.658935,0.659563,0.648374,
Generation16,0.660192,0.660127,0.631575,0.60423,0.658791,0.658978,0.658647,0.657618,
Generation17,0.640036,0.339882,0.659315,0.656571,0.661134,0.658666,0.659453,0.513043,
Generation18,0.484813,0.659607,0.660114,0.660897,0.655749,0.659729,0.644851,0.655152,
Generation19,0.659103,0.65708,0.660192,0.652467,0.517809,0.661842,0.623727,0.660377,
