Generation0,0.338711,0.375059,0.431414,0.413953,0.516016,0.372165,0.306054,0.237891,0.450855,0.356507,0.437786,0.366293,0.436903,0.390413,0.350534,
Generation1,0.450454,0.314105,0.51559,0.424539,0.36673,0.51586,0.539766,0.534282,0.472864,0.461032,0.5033,0.516469,0.519301,0.419537,0.463674,
Generation2,0.52801,0.50796,0.455998,0.500162,0.372966,0.543791,0.522639,0.561241,0.404764,0.419557,0.457251,0.535358,0.538606,0.524726,0.537987,
Generation3,0.53986,0.48823,0.468407,0.558043,0.468641,0.537565,0.539607,0.543882,0.540298,0.488012,0.54398,0.542612,0.561435,0.42981,0.428864,
Generation4,0.556977,0.542641,0.560617,0.56145,0.350384,0.561736,0.556636,0.561698,0.531401,0.54336,0.544496,0.560886,0.556975,0.527359,0.485345,
Generation5,0.56146,0.558911,0.561181,0.561124,0.561615,0.561885,0.561724,0.561957,0.420523,0.560234,0.560798,0.561185,0.441689,0.561713,0.560489,
Generation6,0.451493,0.561266,0.56113,0.56091,0.560098,0.497959,0.562418,0.563124,0.449269,0.488793,0.561719,0.562577,0.561812,0.455333,0.561156,
Generation7,0.56275,0.553778,0.560965,0.435455,0.560701,0.562017,0.563342,0.56184,0.561598,0.425355,0.560239,0.560289,0.562111,0.5609,0.561877,
Generation8,0.561597,0.49531,0.559789,0.45923,0.561,0.354158,0.562527,0.562365,0.561657,0.560536,0.563546,0.482506,0.548509,0.563044,0.559669,
Generation9,0.561593,0.538956,0.565798,0.559356,0.560063,0.561349,0.417453,0.507072,0.562842,0.559802,0.409221,0.513187,0.559512,0.561187,0.564098,
Generation10,0.56354,0.56218,0.543899,0.563968,0.509707,0.564578,0.559127,0.563746,0.55548,0.563254,0.563566,0.55713,0.56337,0.564334,0.564644,
Generation11,0.563191,0.562855,0.566,0.562374,0.406222,0.561569,0.524599,0.562363,0.563361,0.563067,0.551053,0.562676,0.562533,0.562664,0.564333,
Generation12,0.505483,0.563688,0.565115,0.563765,0.563703,0.564212,0.563473,0.508449,0.563264,0.5647,0.331699,0.563762,0.564419,0.565043,0.56366,
Generation13,0.563605,0.565567,0.45838,0.565909,0.564322,0.567701,0.556644,0.552989,0.563173,0.562919,0.564712,0.563963,0.56297,0.563218,0.564107,
Generation14,0.56395,0.558368,0.565733,0.565472,0.565416,0.507713,0.565737,0.522273,0.564923,0.444707,0.564444,0.425987,0.565403,0.565416,0.452088,
Generation15,0.553764,0.567444,0.451238,0.56469,0.557576,0.563729,0.566042,0.564789,0.565329,0.44693,0.479538,0.429999,0.565453,0.437108,0.567841,
Generation16,0.56604,0.565212,0.566458,0.496522,0.566374,0.565013,0.564672,0.565872,0.560356,0.566398,0.556906,0.565947,0.565735,0.409748,0.565772,
Generation17,0.562976,0.565425,0.565181,0.565986,0.564295,0.565417,0.564824,0.565842,0.566171,0.564287,0.566544,0.566981,0.567358,0.564307,0.565119,
Generation18,0.566159,0.565937,0.564887,0.542783,0.564854,0.565869,0.566285,0.565039,0.51628,0.423207,0.567397,0.565538,0.564877,0.56567,0.56564,
Generation19,0.567643,0.564998,0.564995,0.567521,0.566496,0.565586,0.56456,0.509639,0.565988,0.565162,0.557661,0.565933,0.536959,0.464311,0.564924,
Generation20,0.565337,0.564602,0.565429,0.565392,0.486968,0.533355,0.566287,0.563809,0.565624,0.565171,0.564514,0.566421,0.551809,0.549893,0.566984,
Generation21,0.565448,0.55885,0.566164,0.511606,0.398232,0.566582,0.467983,0.473333,0.522414,0.565203,0.511559,0.565854,0.565543,0.566438,0.562363,
Generation22,0.565027,0.564376,0.56588,0.56714,0.5391,0.565399,0.565552,0.566461,0.564517,0.565067,0.566874,0.565709,0.565693,0.561651,0.476724,
Generation23,0.563776,0.568536,0.565645,0.56489,0.549546,0.56778,0.56678,0.493116,0.56567,0.494417,0.568938,0.566737,0.566314,0.564448,0.568905,
